lamda,dark_ice,bright_ice,purple_ice,red_snow,lakes,flooded_snow,melted_snow,dry_snow
400.0,0.9217918986264609,0.8674955064418906,1.0179585744078479,0.9564110038192366,0.7394451497166361,0.6692546940184181,0.9724087256653675,0.9878596091464812
412.5,0.9342545331269075,0.8635085854114546,1.0106774907938951,0.946073675729233,0.7463732617179812,0.6694264037823691,0.9679486319711307,0.9855065208253231
442.5,0.9553650158366238,0.8561613538531757,0.9925637873119917,0.9297043922717179,0.7695541898640728,0.6720170611001236,0.958907154136556,0.976994168016364
490.0,0.9681027036397308,0.8560318188307064,0.9760823268312926,0.9165127564010269,0.8390655853212285,0.6896176508235828,0.9529626494843835,0.9656368703161421
510.0,0.9730022239437891,0.8636639896739763,0.9721632388034087,0.9129373374187651,0.9287537276268817,0.716256594274868,0.9501001750306839,0.9627587765721284
560.0,0.9819682571411391,0.8786702387731599,0.9662155699074216,0.9081661797349325,1.1387165861617892,0.7915224650585226,0.9488276885276797,0.9611328186827034
620.0,0.996935662979599,0.886671686679694,0.9646801059265655,0.9126060172203226,1.5064234921810364,0.8672541897142065,0.9514384416462668,0.9629248235920463
665.0,1.0119013502550214,0.8944898454611026,0.966665562416708,0.9181863920325103,1.6291719910243405,0.8947953080299238,0.9555255804232657,0.9658692762736236
673.75,1.0145683614250793,0.8959837005970266,0.967055347449231,0.9191991592574721,1.640733957006693,0.8983928338621914,0.9562586078077671,0.9664056170251765
681.25,1.016678532518996,0.8969326037203491,0.9672989412634384,0.9198853946755134,1.652797664853114,0.9033569397019194,0.9567738663818386,0.9668035226462397
708.75,1.022218960955115,0.8960935251346138,0.9672316520408482,0.9209912753695405,1.7225616156664794,0.9328912116403777,0.9578279172514564,0.9679497218696792
778.75,1.0485338733193377,0.8914146308912311,0.967539722970865,0.923666343839643,1.7977153418557639,0.943234930817059,0.9604750753126969,0.9709222812110222
865.0,1.06670448796273,0.8888574749870675,0.9687748431637382,0.9280803761238289,1.8032055733272405,0.9488773438806591,0.9636262017345069,0.9741342716570209
885.0,1.0708619281279979,0.8762219582899248,0.967219763273317,0.926102228506651,1.807209349192339,0.944310493642676,0.9629153244031168,0.9744819325670954
900.0,1.0382330336403307,0.8297299108398507,0.9555827648119757,0.9015787702562118,1.765298976382693,0.9101302206067656,0.95497688122077,0.9716503860524346
1020.0,1.0541565205369172,0.7718567079143372,0.9494036778274418,0.8993749285589666,1.7952348711141581,0.8985266179624161,0.9544801408775819,0.9756814583463106
